Private_Entity,External_URI,Confidence
Sohnes Henri,NEW,0.0
Exkursionen,https://www.wikidata.org/entity/Q9364367,0.95
Museen von Basel,NEW,0.0
Dresden,https://www.wikidata.org/entity/Q1731,0.98
Florenz,https://www.wikidata.org/entity/Q20973254,0.95
Mailand,https://www.wikidata.org/entity/Q490,0.9
Venedig,https://www.wikidata.org/entity/Q641,0.85
Archiv,https://www.wikidata.org/entity/Q166118,0.97
Henri Braun,https://www.wikidata.org/entity/Q127273810,0.95
Tod,https://www.wikidata.org/entity/Q18697527,0.95
Vaters,https://www.wikidata.org/entity/Q37463309,0.95
kann,https://www.wikidata.org/entity/Q21448112,0.95
Jahre,https://www.wikidata.org/entity/Q15755041,0.92
Versailles,https://www.wikidata.org/entity/Q621,0.98
Louis Le Vau,https://www.wikidata.org/entity/Q310530,0.95
Jules Hardouin-Mansart,https://www.wikidata.org/entity/Q8053,0.95
Versailles Aerial,NEW,0.0
1624,https://www.wikidata.org/entity/Q12681540,0.95
1680,https://www.wikidata.org/entity/Q11185395,0.95
Arc de Triomphe Photochrom Nr,NEW,0.0
1599,https://www.wikidata.org/entity/Q12681513,0.95
Switzerland,https://www.wikidata.org/entity/Q39,0.98
Arc de Triomphe de l 'Étoile à Paris Caption,NEW,0.0
FRANCE,https://www.wikidata.org/entity/Q142,0.98
Boulevard Montmartre,https://www.wikidata.org/entity/Q1027566,0.95
N. P. LEREBOURS,https://www.wikidata.org/entity/Q325438,0.85
Quai Voltaire 11,NEW,0.0
ARC DE TRIOMPHE DE L'ÉTOILE A PARIS / GOUPIL & WIBERT,NEW,0.0
Druck,https://www.wikidata.org/entity/Q11160769,0.95
CHAISE - Meuble,NEW,0.0
Bois,https://www.wikidata.org/entity/Q2908924,0.95
Tapisserie de Beauvais,NEW,0.0
au cm Carton fond de chaise,NEW,0.0
"L'arc de Triomphe"" De l'ensemble",NEW,0.0
G. Pelletier,https://www.wikidata.org/entity/Q107346104,0.85
Adolphe Chanaux,https://www.wikidata.org/entity/Q22683394,0.95
Groult,https://www.wikidata.org/entity/Q56538575,0.95
1929,https://www.wikidata.org/entity/Q18792,0.95
1932,https://www.wikidata.org/entity/Q18743,0.95
1924,https://www.wikidata.org/entity/Q2173,0.95
1933,https://www.wikidata.org/entity/Q18726,0.95
de la Bastille,https://www.wikidata.org/entity/Q106886158,0.92
1832,https://www.wikidata.org/entity/Q7584,0.95
Léon Cogniet et Raffet,NEW,0.0
Llanta,https://www.wikidata.org/entity/Q109633208,0.92
Paryżu,NEW,0.0
Victor Delarue,https://www.wikidata.org/entity/Q21557522,0.95
Imprimerie Lemercier,https://www.wikidata.org/entity/Q21645742,0.85
Illustrations de l,https://www.wikidata.org/entity/Q123095080,0.92
armée,https://www.wikidata.org/entity/Q296266,0.92
Poland,https://www.wikidata.org/entity/Q36,0.98
M. F. Hoffbauer,NEW,0.0
Fournier,https://www.wikidata.org/entity/Q21494576,0.95
Paul Lacroix,https://www.wikidata.org/entity/Q1607626,0.95
A. de Montaiglon,NEW,0.0
A. Bonnardot,https://www.wikidata.org/entity/Q18612592,0.85
Jules Cousin,https://www.wikidata.org/entity/Q107276391,0.95
Franklin,https://www.wikidata.org/entity/Q14647745,0.95
Valentin Dufour,https://www.wikidata.org/entity/Q52155000,0.95
1875-1882,NEW,0.0
1885,https://www.wikidata.org/entity/Q7821,0.95
XIIIe,https://www.wikidata.org/entity/Q28469723,0.85
jusqu”à,NEW,0.0
authentiques’/par M. F. Hoffbauer,NEW,0.0
der Place de la Bastille,NEW,0.0
versucht 1855,NEW,0.0
Photogalvanographie,https://www.wikidata.org/entity/Q1439619,0.92
Herstellung,https://www.wikidata.org/entity/Q739302,0.85
Stereo-,https://www.wikidata.org/entity/Q34678,0.92
Original,https://www.wikidata.org/entity/Q810198,0.85
Klebeetikett,https://www.wikidata.org/entity/Q722218,0.85
r.o,https://www.wikidata.org/entity/Q16242140,0.85
Padua,https://www.wikidata.org/entity/Q617,0.95
"r.M. ""Padua"" (Bleistift",NEW,0.0
1855,https://www.wikidata.org/entity/Q19241489,0.95
r.M.” Padua,NEW,0.0
lewej s. - levé,NEW,0.0
C. Caffieri,NEW,0.0
Imprimé,https://www.wikidata.org/entity/Q1261026,0.92
Pierron,https://www.wikidata.org/entity/Q36951493,0.95
Rue Montfaucon N.° 1,NEW,0.0
N. Ransonnette G.r Ord.e de Monsieur,NEW,0.0
Heuguet M. de Cartes Géographiques,NEW,0.0
Voltaire,https://www.wikidata.org/entity/Q9068,0.95
Verso,https://www.wikidata.org/entity/Q9368452,0.95
Bastille,https://www.wikidata.org/entity/Q689,0.95
St. Anthony's,https://www.wikidata.org/entity/Q182155,0.85
Veue de la Bastille de Paris,NEW,0.0
Porte de St. Antoine,NEW,0.0
wzoru pod kompoz,NEW,0.0
Roberta Sayera,NEW,0.0
w jęz.,https://www.wikidata.org/entity/Q29256,0.85
angielskim,NEW,0.0
1749,https://www.wikidata.org/entity/Q12681600,0.95
1851,https://www.wikidata.org/entity/Q19241482,0.95
d'un,https://www.wikidata.org/entity/Q15180,0.92
Par B. R[enault,NEW,0.0
United Kingdom,https://www.wikidata.org/entity/Q145,0.98
The Destroyed Ministry of Finance,NEW,0.0
Rue Rivoli,NEW,0.0
Ruined Buildings on Place de la Bastille,NEW,0.0
1871,https://www.wikidata.org/entity/Q19241503,0.95
Communards,https://www.wikidata.org/entity/Q5153972,0.95
Parijs,https://www.wikidata.org/entity/Q90,0.97
Pruisische,https://www.wikidata.org/entity/Q38872,0.85
Netherlands,https://www.wikidata.org/entity/Q55,0.95
Sainte-Chapelle Exterior,NEW,0.0
Genesis,https://www.wikidata.org/entity/Q9184,0.85
Movement/Style: Gothic,NEW,0.0
1242-1248,NEW,0.0
13th century,https://www.wikidata.org/entity/Q7049,0.95
